image_path,class_name,width,height,mode,label,true_label,pred_label,pred_proba,is_error,area,area_bucket,confidence,confidence_bucket
/kaggle/input/cell-images-for-detecting-malaria/cell_images/Parasitized/C76P37ThinF_IMG_20150815_172808_cell_232.png,Parasitized,142,127,RGB,1,1,1,0.99914634,False,18034,Q3,0.99914634,0.9-1.0
/kaggle/input/cell-images-for-detecting-malaria/cell_images/Uninfected/C159P120ThinF_IMG_20151115_190002_cell_11.png,Uninfected,100,127,RGB,0,0,0,0.0037840211,False,12700,Q1 (smallest),0.996216,0.9-1.0
/kaggle/input/cell-images-for-detecting-malaria/cell_images/Parasitized/C59P20thinF_IMG_20150803_113430_cell_11.png,Parasitized,115,130,RGB,1,1,1,0.9977417,False,14950,Q2,0.9977417,0.9-1.0
/kaggle/input/cell-images-for-detecting-malaria/cell_images/Uninfected/C168P129ThinF_IMG_20151118_154126_cell_62.png,Uninfected,139,148,RGB,0,0,0,0.014673897,False,20572,Q4 (largest),0.9853261,0.9-1.0
/kaggle/input/cell-images-for-detecting-malaria/cell_images/Parasitized/C182P143NThinF_IMG_20151201_172607_cell_13.png,Parasitized,124,112,RGB,1,1,1,0.997922,False,13888,Q1 (smallest),0.997922,0.9-1.0
/kaggle/input/cell-images-for-detecting-malaria/cell_images/Parasitized/C114P75ThinF_IMG_20150930_150733_cell_149.png,Parasitized,130,133,RGB,1,1,1,0.9995846,False,17290,Q2,0.9995846,0.9-1.0
/kaggle/input/cell-images-for-detecting-malaria/cell_images/Parasitized/C66P27N_ThinF_IMG_20150818_164008_cell_162.png,Parasitized,130,124,RGB,1,1,1,0.97531384,False,16120,Q2,0.97531384,0.9-1.0
/kaggle/input/cell-images-for-detecting-malaria/cell_images/Uninfected/C174P135NThinF_IMG_20151127_135342_cell_45.png,Uninfected,124,103,RGB,0,0,0,0.0016520079,False,12772,Q1 (smallest),0.998348,0.9-1.0
/kaggle/input/cell-images-for-detecting-malaria/cell_images/Uninfected/C76P37ThinF_IMG_20150815_173019_cell_141.png,Uninfected,142,133,RGB,0,0,0,0.001964567,False,18886,Q3,0.99803543,0.9-1.0
/kaggle/input/cell-images-for-detecting-malaria/cell_images/Parasitized/C110P71ThinF_IMG_20150930_110052_cell_238.png,Parasitized,91,118,RGB,1,1,1,0.7744771,False,10738,Q1 (smallest),0.7744771,0.7-0.8
/kaggle/input/cell-images-for-detecting-malaria/cell_images/Parasitized/C39P4thinF_original_IMG_20150622_105102_cell_101.png,Parasitized,148,142,RGB,1,1,1,0.9999789,False,21016,Q4 (largest),0.9999789,0.9-1.0
/kaggle/input/cell-images-for-detecting-malaria/cell_images/Parasitized/C101P62ThinF_IMG_20150918_151239_cell_97.png,Parasitized,136,127,RGB,1,1,1,0.9996501,False,17272,Q2,0.9996501,0.9-1.0
/kaggle/input/cell-images-for-detecting-malaria/cell_images/Uninfected/C138P99ThinF_IMG_20151005_172849_cell_99.png,Uninfected,124,121,RGB,0,0,0,0.0017727587,False,15004,Q2,0.99822724,0.9-1.0
/kaggle/input/cell-images-for-detecting-malaria/cell_images/Parasitized/C82P43ThinF_IMG_20150817_125326_cell_28.png,Parasitized,130,133,RGB,1,1,1,0.9967097,False,17290,Q2,0.9967097,0.9-1.0
/kaggle/input/cell-images-for-detecting-malaria/cell_images/Parasitized/C123P84ThinF_IMG_20151002_151143_cell_192.png,Parasitized,121,136,RGB,1,1,1,0.9887307,False,16456,Q2,0.9887307,0.9-1.0
/kaggle/input/cell-images-for-detecting-malaria/cell_images/Uninfected/C240ThinF_IMG_20151127_115306_cell_172.png,Uninfected,115,115,RGB,0,0,0,0.016837556,False,13225,Q1 (smallest),0.98316246,0.9-1.0
/kaggle/input/cell-images-for-detecting-malaria/cell_images/Uninfected/C7NthinF_IMG_20150611_105444_cell_56.png,Uninfected,133,133,RGB,0,0,0,0.13948682,False,17689,Q3,0.8605132,0.8-0.9
/kaggle/input/cell-images-for-detecting-malaria/cell_images/Parasitized/C132P93ThinF_IMG_20151004_152808_cell_40.png,Parasitized,124,100,RGB,1,1,1,0.9996837,False,12400,Q1 (smallest),0.9996837,0.9-1.0
/kaggle/input/cell-images-for-detecting-malaria/cell_images/Parasitized/C181P142ThinF_IMG_20151127_160539_cell_182.png,Parasitized,103,181,RGB,1,1,1,0.94501,False,18643,Q3,0.94501,0.9-1.0
/kaggle/input/cell-images-for-detecting-malaria/cell_images/Parasitized/C33P1thinF_IMG_20150619_120804a_cell_224.png,Parasitized,148,112,RGB,1,1,1,0.9981232,False,16576,Q2,0.9981232,0.9-1.0
